Latitude,Longitude,Total Deaths,Total Damages ('000 US$),Dis Mag Value
0,0,11000.0,0.0,0.0
0,0,1250000.0,0.0,0.0
14,-91,2000.0,25000.0,8.0
0,0,1000.0,0.0,0.0
0,0,6000.0,0.0,0.0
0,0,76.0,0.0,0.0
0,0,17.0,0.0,0.0
0,0,0.0,0.0,0.0
0,0,18.0,0.0,0.0
32.04,76.16,20000.0,25000.0,8.0
33.05,71.4,20000.0,100000.0,8.0
1.51 N,78.46 W ,400.0,0.0,9.0
0,0,6.0,0.0,0.0
0,0,0.0,0.0,0.0
0,0,10000.0,20000.0,0.0
38.5,69.9,12000.0,0.0,7.0
0,0,1300000.0,0.0,0.0
0,0,33.0,0.0,0.0
0,0,172.0,0.0,0.0
0,0,0.0,0.0,0.0
0,0,1500000.0,0.0,0.0
44.05,6.14,46.0,0.0,6.0
0,0,150.0,0.0,0.0
0,0,40.0,0.0,0.0
0,0,0.0,0.0,0.0
0,0,62.0,0.0,0.0
0,0,60000.0,0.0,0.0
0,0,0.0,0.0,0.0
9.8,-84,1750.0,0.0,0.0
36,4,12.0,0.0,6.0
0,0,0.0,0.0,0.0
0,0,0.0,0.0,0.0
0,0,0.0,0.0,0.0
0,0,73.0,0.0,1294994.0
0,0,100000.0,0.0,0.0
0,0,28.0,5000.0,0.0
0,0,50000.0,0.0,0.0
-3.924,101.82,20.0,0.0,8.0
0,0,56.0,0.0,0.0
0,0,0.0,0.0,3000.0
0,0,1600.0,0.0,0.0
0,0,300.0,0.0,0.0
28,104,1800.0,0.0,7.0
0,0,0.0,0.0,0.0
14.38,-90.22,2650.0,0.0,6.0
-7,116,15000.0,0.0,7.0
23.5,117,10000.0,0.0,7.0
0,0,393000.0,0.0,0.0
0,0,50000.0,0.0,0.0
0,0,0.0,0.0,0.0
0,0,0.0,0.0,0.0
0,0,0.0,0.0,0.0
0,0,5000.0,0.0,0.0
36.888,105.606,180000.0,25000.0,9.0
0,0,24000.0,0.0,0.0
0,0,0.0,0.0,0.0
0,0,500000.0,0.0,0.0
0,0,0.0,20000.0,0.0
0,0,2000000.0,0.0,0.0
0,0,500000.0,0.0,0.0
0,0,0.0,0.0,0.0
-28.553,-70.755,1000.0,0.0,9.0
0,0,0.0,0.0,0.0
0,0,0.0,0.0,0.0
0,0,43.0,8000.0,5179.0
0,0,100000.0,0.0,0.0
0,0,0.0,0.0,0.0
0,0,6.0,0.0,0.0
31.295,100.75,5000.0,0.0,7.0
0,0,100.0,0.0,0.0
