Region,Total Deaths,No Affected,Total Damages ('000 US$),Insured Damages ('000 US$),Event Duration (Days)
Australia and New Zealand,9686.0,16905939.0,95466233.0,41561100.0,0.0
Caribbean,304584.0,53969815.0,135594871.0,38875560.0,0.0
Central America,164684.0,62450628.0,83153339.0,10867000.0,0.0
Central Asia,3791.0,10564967.0,2467584.0,0.0,0.0
Eastern Africa,817668.0,363613958.0,11346755.0,201500.0,0.0
Eastern Asia,12816503.0,3322282540.0,1215300139.0,121966300.0,0.0
Eastern Europe,72951.0,14850193.0,41845619.0,2697066.0,0.0
Melanesia,12148.0,8062887.0,2436406.0,118400.0,0.0
Micronesia,126.0,333647.0,1143545.0,50000.0,0.0
Middle Africa,46912.0,23629734.0,142741.0,0.0,0.0
Northern Africa,204402.0,52230118.0,16762305.0,0.0,0.0
Northern America,96243.0,117594796.0,1273677960.0,537752330.0,0.0
Northern Europe,8767.0,1552158.0,48063731.0,25290634.0,0.0
Polynesia,721.0,694737.0,1374469.0,0.0,0.0
Russian Federation,3857096.0,24779820.0,20712700.0,0.0,0.0
South America,266591.0,200976795.0,111245976.0,11755500.0,0.0
South-Eastern Asia,508971.0,517161859.0,148523133.0,12701841.0,0.0
Southern Africa,4412.0,35727866.0,7271551.0,1117800.0,0.0
Southern Asia,12559328.0,3118457196.0,236401155.0,6493800.0,0.0
Southern Europe,168821.0,19056630.0,170645460.0,6862000.0,0.0
Western Africa,360975.0,130166057.0,2280841.0,0.0,0.0
Western Asia,108892.0,34900504.0,44473291.0,3580600.0,0.0
Western Europe,51352.0,5407811.0,131159878.0,53430530.0,0.0
