Start Year,Total Deaths,No Affected,Total Damages ('000 US$),Insured Damages ('000 US$)
1900,1267500.0,0.0,30000.0,0.0
1901,200018.0,0.0,0.0,0.0
1902,48438.0,142592.0,25000.0,0.0
1903,7136.0,60000.0,480000.0,0.0
1904,152.0,1620.0,0.0,0.0
1905,20946.0,177.0,48800.0,0.0
1906,33657.0,10000.0,644000.0,180000.0
1907,1313241.0,90000.0,30000.0,0.0
1908,75033.0,150000.0,116000.0,0.0
1909,1506356.0,0.0,0.0,0.0
1910,148993.0,32000.0,0.0,0.0
1911,103705.0,0.0,20000.0,0.0
1912,52093.0,0.0,35000.0,0.0
1913,1962.0,0.0,200000.0,0.0
1914,4408.0,0.0,20000.0,0.0
1915,32337.0,3000000.0,121000.0,0.0
1916,481.0,0.0,0.0,0.0
1917,2523561.0,635000.0,50000.0,0.0
1918,460950.0,2000000.0,129000.0,0.0
1919,5500.0,0.0,25000.0,0.0
1920,3206872.0,20000000.0,45000.0,0.0
1921,1200000.0,5000000.0,0.0,0.0
1922,101175.0,0.0,8000.0,0.0
1923,254286.0,18100000.0,610000.0,0.0
1924,303279.0,1000000.0,0.0,0.0
1925,6972.0,0.0,53000.0,0.0
1926,427852.0,0.0,104000.0,0.0
1927,53270.0,69463.0,62230.0,0.0
1928,3004895.0,6000.0,75000.0,0.0
1929,3330.0,0.0,55000.0,0.0
1930,11092.0,18940.0,60000.0,0.0
1931,3719108.0,36000.0,1447500.0,0.0
1932,4917.0,9654.0,30000.0,0.0
1933,31442.0,0.0,41500.0,0.0
1934,5711.0,0.0,50000.0,0.0
1935,274119.0,10030000.0,8000.0,0.0
1936,5886.0,0.0,21000.0,0.0
1937,12450.0,7500.0,438000.0,0.0
1938,2208.0,920.0,306000.0,0.0
1939,563205.0,0.0,940000.0,0.0
1940,23150.0,15000.0,43000.0,0.0
1941,12870.0,5000.0,40000.0,0.0
1942,1604426.0,0.0,2500.0,0.0
1943,1912974.0,47000.0,1040000.0,0.0
1944,16172.0,120000.0,200000.0,0.0
1945,11358.0,1881776.0,505000.0,0.0
1946,35563.0,2500.0,25500.0,0.0
1947,17650.0,0.0,130000.0,0.0
1948,120828.0,424263.0,1046500.0,0.0
1949,123774.0,294046.0,104200.0,0.0
1950,6845.0,10846279.0,226000.0,0.0
1951,18227.0,398534.0,1528250.0,0.0
